Order_ID,Tanggal_Transaksi,Region,Sektor_Industri,Kategori_Produk,Kuantitas,Harga_Satuan_IDR,Total_Nilai_Deal_IDR,Status_Transaksi,Revenue_IDR
TRX-21517,2022-12-15,Sumatera,Perkebunan,Excavator,1,2277284162,2277284162,Lost (Gagal),0
TRX-22369,2021-09-24,Kalimantan,Manufaktur,Forklift,5,409489290,2047446450,Won (Berhasil),2047446450
TRX-21961,2022-07-17,Sumatera,Pertambangan,Forklift,1,273735241,273735241,Lost (Gagal),0
TRX-20343,2021-12-29,Sulawesi,Manufaktur,Genset (Generator Set),4,367795935,1471183740,Lost (Gagal),0
TRX-22663,2021-01-21,Sulawesi,Perkebunan,Forklift,2,288704212,577408424,Lost (Gagal),0
TRX-21173,2021-02-24,Sumatera,Konstruksi,Forklift,4,244332419,977329676,Won (Berhasil),977329676
TRX-22676,2023-10-04,Papua,Konstruksi,Genset (Generator Set),1,452166950,452166950,Won (Berhasil),452166950
TRX-21027,2021-11-06,Kalimantan,Konstruksi,Forklift,2,514279862,1028559724,Won (Berhasil),1028559724
TRX-22083,2023-04-11,Papua,Pertambangan,Genset (Generator Set),3,295741418,887224254,Won (Berhasil),887224254
TRX-21444,2022-07-22,Sulawesi,Logistik & Gudang,Forklift,5,370273078,1851365390,Won (Berhasil),1851365390
TRX-20932,2023-07-15,Kalimantan,Perkebunan,Tractor Agrikultur,2,1242017308,2484034616,Won (Berhasil),2484034616
TRX-20178,2022-04-16,Jawa,Logistik & Gudang,Genset (Generator Set),4,411802822,1647211288,Won (Berhasil),1647211288
TRX-21593,2022-11-14,Sumatera,Perkebunan,Excavator,1,1546276981,1546276981,Won (Berhasil),1546276981
TRX-21947,2022-03-03,Jawa,Perkebunan,Excavator,2,0,0,Won (Berhasil),5812796506
TRX-21662,2022-04-19,Jawa,Logistik & Gudang,Tractor Agrikultur,2,1353036607,2706073214,Won (Berhasil),2706073214
TRX-22431,2022-11-16,Jawa,Pertambangan,Genset (Generator Set),3,205225982,615677946,Won (Berhasil),615677946
TRX-22862,2021-09-25,Papua,Perkebunan,Forklift,1,547794598,547794598,Won (Berhasil),547794598
