order_id,tanggal_transaksi,region,sektor_industri,kategori_produk,kuantitas,harga_satuan_idr,total_nilai_deal_idr,status_transaksi,revenue_idr
trx-21517,12/15/2022,sumatera,perkebunan,excavator,1,2277284162,2277284162,lost (gagal),0
trx-22369,9/24/2021,kalimantan,manufaktur,forklift,5,409489290,2047446450,won (berhasil),2047446450
trx-21961,7/17/2022,sumatera,pertambangan,forklift,1,273735241,273735241,lost (gagal),0
trx-20343,12/29/2021,sulawesi,manufaktur,genset (generator set),4,367795935,1471183740,lost (gagal),0
trx-22663,1/21/2021,sulawesi,perkebunan,forklift,2,288704212,577408424,lost (gagal),0
trx-21173,2/24/2021,sumatera,konstruksi,forklift,4,244332419,977329676,won (berhasil),977329676
trx-22676,10/4/2023,papua,konstruksi,genset (generator set),1,452166950,452166950,won (berhasil),452166950
trx-21027,11/6/2021,kalimantan,konstruksi,forklift,2,514279862,1028559724,won (berhasil),1028559724
trx-22083,4/11/2023,papua,pertambangan,genset (generator set),3,295741418,887224254,won (berhasil),887224254
trx-21444,7/22/2022,sulawesi,logistik & gudang,forklift,5,370273078,1851365390,won (berhasil),1851365390
trx-20932,7/15/2023,kalimantan,perkebunan,tractor agrikultur,2,1242017308,2484034616,won (berhasil),2484034616
trx-20178,4/16/2022,jawa,logistik & gudang,genset (generator set),4,411802822,1647211288,won (berhasil),1647211288
trx-21593,11/14/2022,sumatera,perkebunan,excavator,1,1546276981,1546276981,won (berhasil),1546276981
trx-21662,4/19/2022,jawa,logistik & gudang,tractor agrikultur,2,1353036607,2706073214,won (berhasil),2706073214
trx-22431,11/16/2022,jawa,pertambangan,genset (generator set),3,205225982,615677946,won (berhasil),615677946
trx-22862,9/25/2021,papua,perkebunan,forklift,1,547794598,547794598,won (berhasil),547794598
trx-22342,3/4/2021,kalimantan,pertambangan,genset (generator set),4,498745045,1994980180,lost (gagal),0
trx-21497,4/15/2021,kalimantan,pertambangan,tractor agrikultur,2,1437814887,2875629774,lost (gagal),0
trx-22966,1/20/2023,sumatera,konstruksi,excavator,2,2885963943,5771927886,in progress,0
trx-22413,5/27/2023,kalimantan,pertambangan,genset (generator set),1,403449666,403449666,won (berhasil),403449666
trx-22807,5/9/2023,papua,konstruksi,tractor agrikultur,1,1072760996,1072760996,won (berhasil),1072760996
trx-21283,8/23/2022,sulawesi,pertambangan,genset (generator set),2,434474711,868949422,lost (gagal),0
trx-22868,3/25/2023,kalimantan,konstruksi,forklift,2,590090784,1180181568,lost (gagal),0
trx-20889,5/22/2021,papua,lainnya,genset (generator set),1,377612979,377612979,won (berhasil),377612979
trx-21459,12/7/2021,sulawesi,pertambangan,forklift,4,398536168,1594144672,won (berhasil),1594144672
trx-21436,5/10/2022,sumatera,konstruksi,excavator,1,2094089591,2094089591,won (berhasil),2094089591
trx-20554,4/23/2021,kalimantan,konstruksi,tractor agrikultur,2,1090186186,2180372372,won (berhasil),2180372372
trx-22263,10/28/2021,kalimantan,pertambangan,tractor agrikultur,2,833599902,1667199804,won (berhasil),1667199804
trx-20439,4/8/2023,papua,konstruksi,excavator,1,1644051575,1644051575,in progress,0
trx-22567,2/9/2022,sulawesi,manufaktur,genset (generator set),2,215111435,430222870,won (berhasil),430222870
trx-21041,6/17/2021,sumatera,perkebunan,genset (generator set),5,455807221,2279036105,lost (gagal),0
trx-21226,2/4/2021,papua,logistik & gudang,excavator,2,2728346837,5456693674,won (berhasil),5456693674
trx-20188,11/22/2023,papua,manufaktur,genset (generator set),2,262571827,525143654,won (berhasil),525143654
trx-21779,8/29/2022,sumatera,pertambangan,genset (generator set),2,376273346,752546692,won (berhasil),752546692
trx-20495,6/23/2021,kalimantan,konstruksi,genset (generator set),1,363202255,363202255,won (berhasil),363202255
trx-20790,7/23/2022,kalimantan,manufaktur,excavator,1,2783176964,2783176964,won (berhasil),2783176964
trx-20572,2/13/2021,jawa,perkebunan,forklift,3,250261637,750784911,lost (gagal),0
trx-22190,11/30/2022,kalimantan,pertambangan,excavator,2,2713196952,5426393904,won (berhasil),5426393904
trx-21710,9/10/2022,sumatera,pertambangan,forklift,4,559177086,2236708344,won (berhasil),2236708344
trx-20831,4/20/2021,papua,pertambangan,excavator,2,1970060421,3940120842,in progress,0
trx-22738,7/24/2023,sulawesi,perkebunan,excavator,1,1937695591,1937695591,lost (gagal),0
trx-22619,9/25/2021,sulawesi,perkebunan,genset (generator set),2,393372830,786745660,won (berhasil),786745660
trx-22007,12/22/2021,jawa,pertambangan,excavator,2,1501722184,3003444368,won (berhasil),3003444368
trx-20568,1/22/2021,kalimantan,perkebunan,forklift,5,354138326,1770691630,won (berhasil),1770691630
trx-20102,2/3/2023,papua,logistik & gudang,excavator,2,2323896185,4647792370,won (berhasil),4647792370
trx-21583,7/19/2021,papua,pertambangan,forklift,1,522954917,522954917,won (berhasil),522954917
trx-22286,10/23/2022,papua,pertambangan,genset (generator set),2,252780403,505560806,won (berhasil),505560806
trx-22012,7/21/2022,sumatera,perkebunan,excavator,2,2115013110,4230026220,won (berhasil),4230026220
trx-22662,3/15/2022,papua,pertambangan,excavator,2,2241215017,4482430034,won (berhasil),4482430034
trx-22823,1/7/2023,jawa,logistik & gudang,tractor agrikultur,5,821213263,4106066315,won (berhasil),4106066315
trx-21179,5/26/2023,sumatera,perkebunan,tractor agrikultur,3,807782728,2423348184,won (berhasil),2423348184
trx-20051,6/28/2023,kalimantan,konstruksi,forklift,5,445073767,2225368835,won (berhasil),2225368835
